"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","702","xmlFromZipTest()","","2026-06-06","passed","2026-06-06","","filePractice.TestMethods","filePractice.TestMethods","xmlFromZipTest"
"","620","pdfFromZipTest()","","2026-06-06","passed","2026-06-06","","filePractice.TestMethods","filePractice.TestMethods","pdfFromZipTest"
"","363","jaksonFromModelTest()","","2026-06-06","passed","2026-06-06","","filePractice.TestMethods","filePractice.TestMethods","jaksonFromModelTest"
"","4880","Проверка валидации параметра 'Фамилия' сложной формы","","2026-06-06","passed","2026-06-06","","com.demoqa.tests.NegativeFillFormTest","com.demoqa.tests.NegativeFillFormTest","withoutSecondNameTest"
"","0","jsonFileParsingImprovedTest()","","2026-06-06","skipped","2026-06-06","","filePractice.fileLesson.LessonsTest","filePractice.fileLesson.LessonsTest","jsonFileParsingImprovedTest"
"","0","jsonFileParsingTest()","","2026-06-06","skipped","2026-06-06","","filePractice.fileLesson.LessonsTest","filePractice.fileLesson.LessonsTest","jsonFileParsingTest"
"","5186","Заполнение обязательных параметров сложной формы","","2026-06-06","passed","2026-06-06","","com.demoqa.tests.FillFormTest","com.demoqa.tests.FillFormTest","requiredParamFillFormTest"
"","3884","Заполнение всех параметров простой формы","","2026-06-06","passed","2026-06-06","","com.demoqa.tests.SimpleFormTest","com.demoqa.tests.SimpleFormTest","fillAllParamSimpleFormTest"
"","4168","Проверка валидации параметра 'Имя' сложной формы","","2026-06-06","passed","2026-06-06","","com.demoqa.tests.NegativeFillFormTest","com.demoqa.tests.NegativeFillFormTest","withoutFirstNameTest"
"","0","csvFileParsingTest()","","2026-06-06","skipped","2026-06-06","","filePractice.fileLesson.LessonsTest","filePractice.fileLesson.LessonsTest","csvFileParsingTest"
"","42","csvFromZipTest()","","2026-06-06","passed","2026-06-06","","filePractice.TestMethods","filePractice.TestMethods","csvFromZipTest"
"","0","uploadFileTest()","","2026-06-06","skipped","2026-06-06","","filePractice.fileLesson.SelenideFilesTest","filePractice.fileLesson.SelenideFilesTest","uploadFileTest"
"","4001","Проверка валидации параметра 'email' простой формы","","2026-06-06","passed","2026-06-06","","com.demoqa.tests.SimpleFormTest","com.demoqa.tests.SimpleFormTest","withWrongEmailSimpleTest"
"","0","xlsFileParsingTest()","","2026-06-06","skipped","2026-06-06","","filePractice.fileLesson.LessonsTest","filePractice.fileLesson.LessonsTest","xlsFileParsingTest"
"","0","Проверка заголовков подкатегории {0}","","2026-06-06","skipped","2026-06-06","","ru.avito.tests.AvitoTest","ru.avito.tests.AvitoTest","categoryHeaderTest"
"","0","zipFileParsingTest()","","2026-06-06","skipped","2026-06-06","","filePractice.fileLesson.LessonsTest","filePractice.fileLesson.LessonsTest","zipFileParsingTest"
"","8","jaksonFromFileTest()","","2026-06-06","passed","2026-06-06","","filePractice.TestMethods","filePractice.TestMethods","jaksonFromFileTest"
"","0","Проверка поиска по объявлениям Авито c запросом {0}","","2026-06-06","skipped","2026-06-06","","ru.avito.tests.AvitoTest","ru.avito.tests.AvitoTest","avitoProductSearchTest"
"","0","pdfFileParsingTest()","","2026-06-06","skipped","2026-06-06","","filePractice.fileLesson.LessonsTest","filePractice.fileLesson.LessonsTest","pdfFileParsingTest"
"","0","zipFileParsingTest()","","2026-06-06","skipped","2026-06-06","","filePractice.fileLesson.PdfFileTest","filePractice.fileLesson.PdfFileTest","zipFileParsingTest"
"","8317","Заполнение всех параметров сложной формы","","2026-06-06","passed","2026-06-06","","com.demoqa.tests.FillFormTest","com.demoqa.tests.FillFormTest","fillAllParamFormTest"
"","4379","Проверка валидации параметра 'Номер телефон' сложной формы","","2026-06-06","passed","2026-06-06","","com.demoqa.tests.NegativeFillFormTest","com.demoqa.tests.NegativeFillFormTest","withoutPhoneNumberTest"
"","0","Проверка поиска по объявлениям Авито с запросом {0} по городу {1}","","2026-06-06","skipped","2026-06-06","","ru.avito.tests.AvitoTest","ru.avito.tests.AvitoTest","avitoProductSearchByTownTest"
"","0","pdfFileReadTest()","","2026-06-06","skipped","2026-06-06","","filePractice.fileLesson.PdfFileTest","filePractice.fileLesson.PdfFileTest","pdfFileReadTest"
"","0","downloadFileTest()","","2026-06-06","skipped","2026-06-06","","filePractice.fileLesson.SelenideFilesTest","filePractice.fileLesson.SelenideFilesTest","downloadFileTest"
